gender_rank,occupation,gender,individuals,average_taxable_income
259,Administrative service officer – levels 5–6; Program or project administrator; Public servant – administrative service officer – levels 5–6,Male,31434,85567
669,Admissions clerk,Female,5667,42435
776,Admissions clerk,Male,899,47179
206,Advertising director; Advertising manager,Female,3507,70895
139,Advertising director; Advertising manager,Male,2614,104132
378,Advertising specialist; Media planner,Female,2871,58258
392,Advertising specialist; Media planner,Male,1709,73201
923,Aerobics instructor; Fitness instructor; Gym instructor,Female,9978,31358
957,Aerobics instructor; Fitness instructor; Gym instructor,Male,6079,35808
169,Aeronautical engineer,Female,182,75029
165,Aeronautical engineer,Male,2280,99207
185,Aeroplane pilot,Female,626,73412
71,Aeroplane pilot,Male,8281,133526
903,Aged or disabled carer; Home companion; Respite carer,Female,103676,32044
925,Aged or disabled carer; Home companion; Respite carer,Male,18884,37642
614,Agent – travel; Travel agent or consultant,Female,15796,44876
661,Agent – travel; Travel agent or consultant,Male,3467,53365
341,Agricultural engineer,Female,36,60195
352,Agricultural engineer,Male,348,76288
465,Agricultural field officer,Female,640,52744
487,Agricultural field officer,Male,1598,65808
256,Agricultural scientist; Agronomist,Female,1301,65807
252,Agricultural scientist; Agronomist,Male,3351,86518
678,Agricultural technician,Female,503,41878
605,Agricultural technician,Male,1342,56984
235,Air conditioning and mechanical services plumber,Female,10,68069
453,Air conditioning and mechanical services plumber,Male,3399,68071
580,Air conditioning mechanic; Refrigeration mechanic,Female,51,47098
447,Air conditioning mechanic; Refrigeration mechanic,Male,14618,68932
413,Air force – other ranks; Air force junior non-commissioned officer; Army – other ranks; Army junior non-commissioned officer; Defence force personnel – junior non-commissioned officer; Defence force p,Female,4368,56140
545,Air force – other ranks; Air force junior non-commissioned officer; Army – other ranks; Army junior non-commissioned officer; Defence force personnel – junior non-commissioned officer; Defence force p,Male,24789,62162
211,Air force junior officer; Army junior officer; Defence force personnel – junior officer; Navy junior officer; RAAF junior officer,Female,1564,70650
325,Air force junior officer; Army junior officer; Defence force personnel – junior officer; Navy junior officer; RAAF junior officer,Male,6562,78650
150,Air force senior non-commissioned officer; Army senior non-commissioner officer; Defrence force personnel – senior non-commissioned officer; Navy senior non-commissioned officer; RAAF senior non-commi,Female,796,78203
224,Air force senior non-commissioned officer; Army senior non-commissioner officer; Defrence force personnel – senior non-commissioned officer; Navy senior non-commissioned officer; RAAF senior non-commi,Male,6594,89674
72,Air force senior officer; Army senior officer; Defence force personnel – senior officer; Navy senior officer; RAAF senior officer,Female,994,99151
97,Air force senior officer; Army senior officer; Defence force personnel – senior officer; Navy senior officer; RAAF senior officer,Male,6388,118157
290,Air safety inspector or investigator; Aircraft navigator; Airways surveyor; Airworthiness surveyor; Aviation safety inspector; Flight engineer,Female,236,63419
151,Air safety inspector or investigator; Aircraft navigator; Airways surveyor; Airworthiness surveyor; Aviation safety inspector; Flight engineer,Male,1634,100964
68,Air traffic controller; Flight service officer – air traffic control,Female,322,100200
65,Air traffic controller; Flight service officer – air traffic control,Male,1552,141581
337,Aircraft draftsperson; Biomedical engineering technician or associate; Chemical engineering technician; Mining draftsperson; Shipbuilding draftsperson,Female,258,60326
281,Aircraft draftsperson; Biomedical engineering technician or associate; Chemical engineering technician; Mining draftsperson; Shipbuilding draftsperson,Male,1357,83062
280,Aircraft maintenance engineer – avionics,Female,68,64274
188,Aircraft maintenance engineer – avionics,Male,2906,96173
249,Aircraft maintenance engineer – mechanical,Female,107,66357
201,Aircraft maintenance engineer – mechanical,Male,6488,93837
315,Aircraft maintenance engineer – structures,Female,13,61406
286,Aircraft maintenance engineer – structures,Male,824,82412
158,Aircraft refueller,Female,13,77366
372,Aircraft refueller,Male,592,74664
547,Airline employee – baggage handling or ground crew; Baggage handler – airline; Loadmaster – aircraft,Female,1175,48511
642,Airline employee – baggage handling or ground crew; Baggage handler – airline; Loadmaster – aircraft,Male,5851,54497
723,Airline employee – check in or ticketing; Call centre operator – bookings; Cinema attendant – selling tickets; Contact centre operator – bookings; Railway employee – ticket seller; Reservations clerk;,Female,6090,39847
762,Airline employee – check in or ticketing; Call centre operator – bookings; Cinema attendant – selling tickets; Contact centre operator – bookings; Railway employee – ticket seller; Reservations clerk;,Male,2039,47823
506,Airline employee – load controller; Freight clerk; Receiving and dispatching clerk; Shipping clerk; Transport dispatcher,Female,4801,50638
525,Airline employee – load controller; Freight clerk; Receiving and dispatching clerk; Shipping clerk; Transport dispatcher,Male,8180,63535
529,Airline steward; Flight attendant or steward,Female,8254,49474
503,Airline steward; Flight attendant or steward,Male,3216,65113
523,Alumina refinery operator; Arc welder; Die setter – metals; Furnace operator – metals; Key cutter; Kiln operator – metals; Knife sharpener; Metal press operator; Metal sprayer,Female,100,49801
468,Alumina refinery operator; Arc welder; Die setter – metals; Furnace operator – metals; Key cutter; Kiln operator – metals; Knife sharpener; Metal press operator; Metal sprayer,Male,2292,66934
458,Ambassador; Archbishop; Bishop; Correctional institution governor; Prison governor,Female,390,52933
347,Ambassador; Archbishop; Bishop; Correctional institution governor; Prison governor,Male,774,76755
291,Ambulance officer; Paramedic,Female,5128,63265
314,Ambulance officer; Paramedic,Male,9730,79711
635,Amusement centre manager,Female,197,43778
715,Amusement centre manager,Male,256,50039
535,Amusement park attendant – rides; Asbestos removalist; Fabricator – door or window – wood,Female,3838,49195
470,Amusement park attendant – rides; Asbestos removalist; Fabricator – door or window – wood,Male,27601,66691
416,Anaesthetic technician,Female,367,56084
472,Anaesthetic technician,Male,336,66535
9,Anaesthetist,Female,945,243582
14,Anaesthetist,Male,2160,370492
108,Analyst programmer,Female,1635,85169
161,Analyst programmer,Male,4828,99377
908,Animal attendant; Animal trainer (not dog or horse),Female,2803,31904
867,Animal attendant; Animal trainer (not dog or horse),Male,901,41877
391,Announcer – radio; Disc jockey – other than nightclub; Newsreader – radio; Radio announcer; Radio presenter,Female,529,57658
363,Announcer – radio; Disc jockey – other than nightclub; Newsreader – radio; Radio announcer; Radio presenter,Male,1129,75167
733,Antique dealer,Female,23,39309
874,Antique dealer,Male,70,41229
816,Apiarist,Female,37,35054
890,Apiarist,Male,221,40320
762,Apparel cutter,Female,53,38096
860,Apparel cutter,Male,57,42189
132,Applications programmer; Computer programmer; Developer programmer; Systems programmer – computing,Female,5059,80257
206,Applications programmer; Computer programmer; Developer programmer; Systems programmer – computing,Male,23875,93411
958,Apprentice or trainee – agricultural technician,Female,40,29603
983,Apprentice or trainee – agricultural technician,Male,288,33811
917,Apprentice or trainee – airconditioning and refrigeration mechanic,Female,14,31574
960,Apprentice or trainee – airconditioning and refrigeration mechanic,Male,2395,35643
921,Apprentice or trainee – aircraft maintenance engineer,Female,20,31379
895,Apprentice or trainee – aircraft maintenance engineer,Male,395,39995
932,Apprentice or trainee – animal attendant,Female,53,30942
1010,Apprentice or trainee – animal attendant,Male,23,31701
441,Apprentice or trainee – autoglazier,Female,3,54397
963,Apprentice or trainee – autoglazier,Male,138,35143
947,Apprentice or trainee – automotive Apprentice or trainee – other,Female,83,30108
1002,Apprentice or trainee – automotive Apprentice or trainee – other,Male,2517,32491
671,Apprentice or trainee – automotive electrician,Female,44,42228
919,Apprentice or trainee – automotive electrician,Male,968,37897
955,Apprentice or trainee – automotive mechanic,Female,260,29842
1013,Apprentice or trainee – automotive mechanic,Male,8997,31585
985,Apprentice or trainee – baker or pastrycook,Female,515,28219
1048,Apprentice or trainee – baker or pastrycook,Male,1277,28157
1038,Apprentice or trainee – beauty therapist,Female,279,25066
1098,Apprentice or trainee – beauty therapist,Male,6,20771
1010,Apprentice or trainee – boat builder or shipwright,Female,4,26508
1018,Apprentice or trainee – boat builder or shipwright,Male,186,31113
848,Apprentice or trainee – bricklayer,Female,5,34039
1077,Apprentice or trainee – bricklayer,Male,1220,25347
1053,Apprentice or trainee – business services,Female,579,24169
1030,Apprentice or trainee – business services,Male,284,29821
912,Apprentice or trainee – butcher,Female,110,31723
1026,Apprentice or trainee – butcher,Male,1662,29995
815,Apprentice or trainee – canvas and leather tradesperson,Female,3,35141
1027,Apprentice or trainee – canvas and leather tradesperson,Male,16,29980
979,Apprentice or trainee – care and community services,Female,301,28444
1003,Apprentice or trainee – care and community services,Male,77,32369
1009,Apprentice or trainee – carpenter and joiner,Female,129,26523
1039,Apprentice or trainee – carpenter and joiner,Male,15766,29252
998,Apprentice or trainee – chef,Female,2337,27564
1060,Apprentice or trainee – chef,Male,4382,27290
1037,Apprentice or trainee – cleaning services,Female,463,25116
1050,Apprentice or trainee – cleaning services,Male,481,28098
823,Apprentice or trainee – clerical services,Female,757,34880
981,Apprentice or trainee – clerical services,Male,227,33933
1015,Apprentice or trainee – clothing tradesperson,Female,10,26344
1087,Apprentice or trainee – clothing tradesperson,Male,5,24092
1040,Apprentice or trainee – cook,Female,132,24967
1068,Apprentice or trainee – cook,Male,233,26118
721,Apprentice or trainee – deck or fishing hand,Female,13,39883
825,Apprentice or trainee – deck or fishing hand,Male,78,44373
572,Apprentice or trainee – electrician,Female,481,47354
893,Apprentice or trainee – electrician,Male,19182,40108
741,Apprentice or trainee – electronics tradesperson,Female,26,38909
886,Apprentice or trainee – electronics tradesperson,Male,634,40504
1077,Apprentice or trainee – farm or garden worker,Female,29,21565
1067,Apprentice or trainee – farm or garden worker,Male,178,26151
867,Apprentice or trainee – financial services,Female,240,33245
887,Apprentice or trainee – financial services,Male,154,40439
1045,Apprentice or trainee – floor finisher,Male,182,28801
1066,Apprentice or trainee – florist,Female,127,22983
1103,Apprentice or trainee – florist,Male,3,18100
1054,"Apprentice or trainee – food, drink or meat processor",Female,65,24077
1046,"Apprentice or trainee – food, drink or meat processor",Male,71,28770
948,Apprentice or trainee – forestry,Female,3,30065
1001,Apprentice or trainee – forestry,Male,29,32503
972,Apprentice or trainee – gardener,Female,57,28766
1064,Apprentice or trainee – gardener,Male,837,26744
964,Apprentice or trainee – greenkeeper,Female,6,29167
1056,Apprentice or trainee – greenkeeper,Male,544,27822
1061,Apprentice or trainee – hair dresser,Female,3589,23326
1094,Apprentice or trainee – hair dresser,Male,216,23209
935,Apprentice or trainee – health and welfare support services,Female,286,30753
891,Apprentice or trainee – health and welfare support services,Male,93,40235
1060,Apprentice or trainee – hospitality,Female,272,23445
1085,Apprentice or trainee – hospitality,Male,184,24204
703,Apprentice or trainee – information technology technician,Female,55,40844
969,Apprentice or trainee – information technology technician,Male,316,34692
237,Apprentice or trainee – insurance claims investigator,Female,219,67832
351,Apprentice or trainee – insurance claims investigator,Male,142,76627
906,Apprentice or trainee – jeweller,Female,59,31964
1004,Apprentice or trainee – jeweller,Male,64,32062
715,Apprentice or trainee – jockey,Female,79,40421
635,Apprentice or trainee – jockey,Male,54,54834
711,Apprentice or trainee – justice and legal services,Female,135,40586
785,Apprentice or trainee – justice and legal services,Male,65,46643
643,Apprentice or trainee – mechanical trades engineer,Female,114,43460
847,Apprentice or trainee – mechanical trades engineer,Male,4441,42892
853,Apprentice or trainee – medical technician,Female,51,33815
878,Apprentice or trainee – medical technician,Male,58,41031
752,Apprentice or trainee – metal fabrication engineer,Female,49,38498
956,Apprentice or trainee – metal fabrication engineer,Male,4259,35829
347,Apprentice or trainee – miner,Female,53,59872
531,Apprentice or trainee – miner,Male,224,62935
1067,Apprentice or trainee – nurseryperson,Female,40,22943
1070,Apprentice or trainee – nurseryperson,Male,69,25996
1020,Apprentice or trainee – painter,Female,80,26159
1079,Apprentice or trainee – painter,Male,1170,25328
885,Apprentice or trainee – performing arts technician,Female,6,32745
1020,Apprentice or trainee – performing arts technician,Male,20,30976
877,Apprentice or trainee – plasterer,Female,5,32934
1059,Apprentice or trainee – plasterer,Male,899,27431
989,Apprentice or trainee – plumber,Female,54,28010
1011,Apprentice or trainee – plumber,Male,8584,31680
621,Apprentice or trainee – power generation plant operator,Female,7,44375
507,Apprentice or trainee – power generation plant operator,Male,89,64808
891,Apprentice or trainee – printer or graphic artist,Female,75,32519
913,Apprentice or trainee – printer or graphic artist,Male,315,38199
374,Apprentice or trainee – real estate representative,Female,939,58513
103,Apprentice or trainee – real estate representative,Male,963,113971
742,Apprentice or trainee – sales assistant (retail),Female,3995,38809
651,Apprentice or trainee – sales assistant (retail),Male,1673,54042
455,Apprentice or trainee – sales representative (wholesale),Female,508,53118
388,Apprentice or trainee – sales representative (wholesale),Male,723,73496
395,Apprentice or trainee – security and correctional services,Female,62,57531
624,Apprentice or trainee – security and correctional services,Male,131,55624
1086,Apprentice or trainee – shearer,Female,9,19671
1052,Apprentice or trainee – shearer,Male,43,27980
886,Apprentice or trainee – signwriter,Female,38,32736
1022,Apprentice or trainee – signwriter,Male,191,30528
1089,Apprentice or trainee – sport and recreation,Female,114,17983
1101,Apprentice or trainee – sport and recreation,Male,210,19586
1074,Apprentice or trainee – stablehand,Female,21,21810
1096,Apprentice or trainee – stablehand,Male,12,22520
1030,Apprentice or trainee – storeperson,Female,58,25475
1044,Apprentice or trainee – storeperson,Male,213,28950
856,Apprentice or trainee – telecommunications technical specialist,Female,17,33653
875,Apprentice or trainee – telecommunications technical specialist,Male,190,41212
946,Apprentice or trainee – telecommunications tradesperson,Female,11,30132
927,Apprentice or trainee – telecommunications tradesperson,Male,181,37543
1087,Apprentice or trainee – tiler,Female,7,19542
1082,Apprentice or trainee – tiler,Male,762,24995
859,Apprentice or trainee – tourism and travel adviser,Female,127,33620
1005,Apprentice or trainee – tourism and travel adviser,Male,44,32018
688,Apprentice or trainee – transport and distribution driver,Female,24,41380
742,Apprentice or trainee – transport and distribution driver,Male,95,48629
936,Apprentice or trainee – upholsterer,Female,10,30746
1058,Apprentice or trainee – upholsterer,Male,55,27482
966,Apprentice or trainee – veterinary nurse,Female,392,29161
1034,Apprentice or trainee – veterinary nurse,Male,17,29622
943,Apprentice or trainee – watch and clock maker,Male,15,36213
1033,Apprentice or trainee – wood tradesperson,Female,18,25274
1047,Apprentice or trainee – wood tradesperson,Male,577,28636
904,Aquaculture farmer or farm overseer; Fish hatchery manager; Oyster farmer or farm overseer; Seafood farmer or farm overseer,Female,219,32020
706,Aquaculture farmer or farm overseer; Fish hatchery manager; Oyster farmer or farm overseer; Seafood farmer or farm overseer,Male,1433,50540
1055,Aquaculture worker,Female,500,23886
993,Aquaculture worker,Male,1408,33178
565,Arborist; Tree surgeon,Female,114,47535
686,Arborist; Tree surgeon,Male,4672,51801
326,Architect,Female,4684,60947
231,Architect,Male,10601,88729
559,Architectural draftsperson; Building designer,Female,3020,48151
485,Architectural draftsperson; Building designer,Male,9688,65884
363,Archivist,Female,595,59359
550,Archivist,Male,279,61686
596,Armoured car escort; Payroll guard,Female,134,46508
615,Armoured car escort; Payroll guard,Male,1072,56033
264,"Art director – film, television or stage",Female,298,65185
338,"Art director – film, television or stage",Male,502,77274
216,Art director – publishing or advertising; Producer – media,Female,3455,69919
218,Art director – publishing or advertising; Producer – media,Male,3280,90356
672,Art teacher – private,Female,1041,42025
818,Art teacher – private,Male,280,44878
283,"Articled clerk; Coroner; Court registrar – Court of Appeals; Court registrar – Federal, Supreme or Family Courts; Judicial registrar",Female,690,64045
223,"Articled clerk; Coroner; Court registrar – Court of Appeals; Court registrar – Federal, Supreme or Family Courts; Judicial registrar",Male,286,89706
845,Artist – other visual; Craft worker,Female,872,34117
750,Artist – other visual; Craft worker,Male,779,48095
202,Artistic director,Female,241,71377
312,Artistic director,Male,260,79748
484,Arts administrator; Arts manager,Female,2682,51948
505,Arts administrator; Arts manager,Male,923,65044
812,Assembler; Assembly line worker,Female,11741,35424
865,Assembler; Assembly line worker,Male,23166,41975
369,Associate editor; Newspaper editor; Periodical editor; Sub editor,Female,1843,59025
264,Associate editor; Newspaper editor; Periodical editor; Sub editor,Male,1088,85189
810,Athlete,Female,56,35453
713,Athlete,Male,159,50110
629,Auctioneer,Female,56,44181
262,Auctioneer,Male,582,85444
494,Audio engineer; Editor – sound; Sound engineer or technician,Female,362,51438
634,Audio engineer; Editor – sound; Sound engineer or technician,Male,3817,54991
221,Audiologist,Female,1596,69049
214,Audiologist,Male,547,91877
469,Author,Female,447,52657
539,Author,Male,351,62596
348,Automotive electrician,Female,62,59718
385,Automotive electrician,Male,6748,73719
684,Back hoe operator,Female,12,41614
533,Back hoe operator,Male,582,62893
593,Baggage handler – bus or train; Baggage handler – freight –  roal or rail; Freight handler – road or rail,Female,188,46699
655,Baggage handler – bus or train; Baggage handler – freight –  roal or rail; Freight handler – road or rail,Male,2278,53914
1019,Baggage handler – hotel or motel; Door attendant; Luggage porter,Female,548,26162
938,Baggage handler – hotel or motel; Door attendant; Luggage porter,Male,1729,36487
799,Baker,Female,2341,36042
815,Baker,Male,11367,45165
996,Bakery assistant; Pastry cook’s assistant,Female,6706,27737
1031,Bakery assistant; Pastry cook’s assistant,Male,2720,29767
822,Baking factory worker,Female,2002,34903
888,Baking factory worker,Male,1971,40404
902,Ballet teacher; Dance teacher – private,Female,2097,32056
931,Ballet teacher; Dance teacher – private,Male,249,37178
604,Band member; Drummer; Guitarist; Musician – instrumentalist; Organist; Pianist,Female,798,45752
725,Band member; Drummer; Guitarist; Musician – instrumentalist; Organist; Pianist,Male,1193,49620
468,"Bank employee; Bank officer; Bank teller; Business development officer – bank, etc.; Credit union employee",Female,50140,52668
183,"Bank employee; Bank officer; Bank teller; Business development officer – bank, etc.; Credit union employee",Male,21425,96812
71,Bank manager; Financial institution branch manager,Female,8517,99447
60,Bank manager; Financial institution branch manager,Male,12166,151095
993,Bar useful or busser,Female,1302,27850
1083,Bar useful or busser,Male,1369,24913
943,Barber; Hairdresser; Ladies’ hairdresser; Men’s hairdresser,Female,30011,30323
906,Barber; Hairdresser; Ladies’ hairdresser; Men’s hairdresser,Male,3873,39030
1063,Barista,Female,15588,23240
1080,Barista,Male,7248,25229
360,Barrister,Female,777,59436
53,Barrister,Male,797,168766
1000,Bartender,Female,33993,27450
1035,Bartender,Male,29291,29511
575,Basketballer,Female,54,47246
840,Basketballer,Male,129,43191
956,Beautician; Beauty therapist; Manicurist,Female,16399,29682
1036,Beautician; Beauty therapist; Manicurist,Male,252,29510
1064,Beauty salon assistant; Hair salon assistant,Female,2893,23085
1074,Beauty salon assistant; Hair salon assistant,Male,218,25628
704,Beauty salon manager; Hair salon manager,Female,2534,40826
733,Beauty salon manager; Hair salon manager,Male,458,49005
1080,Bed and breakfast owner operator,Female,20,20842
1088,Bed and breakfast owner operator,Male,18,23990
757,Bedding and mattress maker; Furniture upholsterer; Upholsterer,Female,242,38370
837,Bedding and mattress maker; Furniture upholsterer; Upholsterer,Male,1716,43652
1014,Beef cattle farm worker; Drover – beef cattle; Jackeroo – beef cattle; Jillaroo – beef cattle; Stationhand – beef cattle,Female,2027,26346
976,Beef cattle farm worker; Drover – beef cattle; Jackeroo – beef cattle; Jillaroo – beef cattle; Stationhand – beef cattle,Male,4974,34165
722,Beef cattle farmer or farm overseer,Female,511,39850
758,Beef cattle farmer or farm overseer,Male,2380,47882
404,Betting agency manager,Female,93,56833
256,Betting agency manager,Male,173,85803
1084,Bicycle mechanic,Female,24,19735
965,Bicycle mechanic,Male,1028,35003
930,Bingo caller; Keno terminal operator,Female,147,31065
566,Bingo caller; Keno terminal operator,Male,48,60292
238,Biochemist,Female,1164,67389
248,Biochemist,Male,978,86974
336,Biologist; Life scientist,Female,3365,60428
343,Biologist; Life scientist,Male,2546,77036
309,Biomedical engineer,Female,242,61709
339,Biomedical engineer,Male,884,77218
186,Biophysicist,Female,27,73363
257,Biophysicist,Male,107,85653
294,Biotechnologist,Female,561,62905
298,Biotechnologist,Male,509,81466
649,Blacksmith,Female,3,43252
676,Blacksmith,Male,125,52485
1013,Boarding kennel or cattery operator,Female,361,26388
885,Boarding kennel or cattery operator,Male,126,40571
828,Boat builder or repairer; Rigger – boat,Female,31,34608
610,Boat builder or repairer; Rigger – boat,Male,2193,56628
414,Boatswain; Deckhand; Merchant seaman; Sailor; Seafarer,Female,907,56107
237,Boatswain; Deckhand; Merchant seaman; Sailor; Seafarer,Male,8338,88121
330,Bobcat operator; Front end loader operator,Female,66,60843
486,Bobcat operator; Front end loader operator,Male,2026,65842
949,Body artist; Body piercer; Tattooist,Female,186,30025
1000,Body artist; Body piercer; Tattooist,Male,202,32615
552,Body builder – fitness; Sportsperson – other Office managers and,Female,78,48432
489,Body builder – fitness; Sportsperson – other Office managers and,Male,232,65770
145,Boiler attendant; Engine or boiler operator,Female,11,78548
332,Boiler attendant; Engine or boiler operator,Male,983,77891
585,Boilermaker; Fabricator – door or window – metal; Metal fabricator,Female,246,46933
344,Boilermaker; Fabricator – door or window – metal; Metal fabricator,Male,47845,77010
802,Book binder; Print finisher,Female,787,35901
643,Book binder; Print finisher,Male,1662,54479
430,Book editor; Script editor,Female,1236,55052
553,Book editor; Script editor,Male,355,61521
607,Bookkeeper; Registrar – school,Female,35447,45248
879,Bookkeeper; Registrar – school,Male,2788,41004
817,Bookmaker,Female,48,34994
270,Bookmaker,Male,261,84504
976,Bookmaker’s clerk,Female,96,28660
918,Bookmaker’s clerk,Male,206,37981
356,Botanist,Female,241,59520
337,Botanist,Male,254,77383
990,Bottle shop attendant; Cinema attendant – selling food or drink; Cosmetician; Deli assistant; Post office clerk; Retail assistant – general; Retail trainee; Salesperson – general; Shop assistant – gen,Female,191711,27979
1021,Bottle shop attendant; Cinema attendant – selling food or drink; Cosmetician; Deli assistant; Post office clerk; Retail assistant – general; Retail trainee; Salesperson – general; Shop assistant – gen,Male,83084,30540
925,Bouncer; Crowd controller,Female,425,31268
995,Bouncer; Crowd controller,Male,3878,33116
302,Boxer – sports,Male,13,81041
560,Brewery worker,Female,163,48068
421,Brewery worker,Male,1169,71243
968,Brick handler – brickworks; Kiln hand or labourer,Female,87,29114
775,Brick handler – brickworks; Kiln hand or labourer,Male,1244,47207
1058,Bricklayer,Female,14,23699
735,Bricklayer,Male,7999,48978
651,Bricklayer’s labourer; Building construction labourer; Construction worker – general assistant,Female,749,43213
723,Bricklayer’s labourer; Building construction labourer; Construction worker – general assistant,Male,45001,49625
405,Broadcast transmitter operator,Female,81,56616
412,Broadcast transmitter operator,Male,310,71966
312,Brothel keeper; Laundrette owner; Marina manager; Nursing agency manager; Owner – taxi; Owner-driver – taxi; Taxi proprietor; Weight loss centre manager,Female,367,61563
444,Brothel keeper; Laundrette owner; Marina manager; Nursing agency manager; Owner – taxi; Owner-driver – taxi; Taxi proprietor; Weight loss centre manager,Male,753,69249
189,Builder – professional; Project builder,Female,734,73029
377,Builder – professional; Project builder,Male,11490,74225
245,Building construction supervisor,Female,387,66628
197,Building construction supervisor,Male,19067,94463
307,Building inspector,Female,258,61917
316,Building inspector,Male,2683,79502
287,Building insulation installer,Female,18,63913
662,Building insulation installer,Male,1861,53280
149,Bulk materials handling plant operator,Female,376,78272
235,Bulk materials handling plant operator,Male,4762,88237
81,Bulldozer operator,Female,6,94739
328,Bulldozer operator,Male,517,78262
977,Bungy jump master,Male,9,34164
462,Bus conductor; Train conductor; Tram conductor; Transport conductor,Female,435,52830
393,Bus conductor; Train conductor; Tram conductor; Transport conductor,Male,1222,73192
658,Bus driver,Female,4259,42859
684,Bus driver,Male,30436,51917
408,Bus inspector; Traffic inspector; Transport operations inspector,Female,380,56451
342,Bus inspector; Traffic inspector; Transport operations inspector,Male,2145,77050
118,Business analyst,Female,14743,82733
156,Business analyst,Male,18002,100477
532,Business broker; Retail assistant – business broker; Salesperson – business broker,Female,290,49417
431,Business broker; Retail assistant – business broker; Salesperson – business broker,Male,466,70588
412,Business development officer – loans; Credit and loans officer,Female,5474,56274
395,Business development officer – loans; Credit and loans officer,Male,3737,73114
358,Business development officer – marketing; Marketing specialist,Female,17344,59466
265,Business development officer – marketing; Marketing specialist,Male,11449,84844
788,Butcher; Smallgoods maker,Female,867,36630
772,Butcher; Smallgoods maker,Male,15921,47438
739,Butler,Female,35,39013
756,Butler,Male,144,47924
209,Buyer – retail goods; Company rep. – retail buying,Female,2495,70710
192,Buyer – retail goods; Company rep. – retail buying,Male,1445,95527
1027,Cab driver; Taxi driver,Female,191,25854
1084,Cab driver; Taxi driver,Male,2056,24294
736,Cabinet maker; Furniture maker,Female,264,39068
763,Cabinet maker; Furniture maker,Male,17701,47808
748,Café manager; Canteen manager; Caterer; Restaurant manager,Female,28659,38650
777,Café manager; Canteen manager; Caterer; Restaurant manager,Male,19958,47168
1062,Café worker; Cafeteria worker; Canteen assistant; Snack bar assistant,Female,23016,23241
1091,Café worker; Cafeteria worker; Canteen assistant; Snack bar assistant,Male,5651,23669
864,Cake decorator; Pastry cook,Female,2534,33436
841,Cake decorator; Pastry cook,Male,2597,43183
266,Call centre manager; Contact centre manager,Female,2222,64885
370,Call centre manager; Contact centre manager,Male,1746,74725
872,Call centre operator – betting; Contact centre operator – betting,Female,216,33103
912,Call centre operator – betting; Contact centre operator – betting,Male,167,38328
659,Call centre operator – classified ads; Classified advertising clerk; Contact centre operator – classified ads,Female,412,42830
768,Call centre operator – classified ads; Classified advertising clerk; Contact centre operator – classified ads,Male,96,47696
730,Call centre operator – inbound calls; Call centre operator – other; Contact centre operator – inbound calls; Contact centre operator – other,Female,19043,39454
892,Call centre operator – inbound calls; Call centre operator – other; Contact centre operator – inbound calls; Contact centre operator – other,Male,10333,40174
1011,Call centre operator – outbound calls or telemarketer; Contact centre operator – outbound calls or telemarketer; Telemarketer,Female,5049,26498
1062,Call centre operator – outbound calls or telemarketer; Contact centre operator – outbound calls or telemarketer; Telemarketer,Male,3154,27078
377,Call centre team leader; Contact centre team leader,Female,2340,58375
499,Call centre team leader; Contact centre team leader,Male,1530,65255
633,"Camera operator – film, television or video; Motion picture camera operator",Female,164,43883
551,"Camera operator – film, television or video; Motion picture camera operator",Male,1881,61667
779,Camera repairer,Female,6,37126
674,Camera repairer,Male,60,52637
1073,Cane cutter,Female,618,22071
973,Cane cutter,Male,1842,34316
