Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bolivia,BOL,Arable land (hectares),AG.LND.ARBL.HA,,1294000,1296000,1304000,1341000,1375000,1414000,1448000,1488000,1527000,1564000,1591000,1634000,1678000,1711000,1752000,1807000,1845000,1877000,1910000,1943000,1980000,2018000,2051000,2093000,2050000,2060000,2070000,2080000,2090000,2100000,2110000,2150000,2200000,2350000,2600000,2690000,2872000,2974000,3070000,3144000,3150000,3300000,3514000,3579000,3806000,3905000,4171000,4266000,4454000,4297000,4338000,4422000,4506000,4470000,4429000,4453000,,,
Brazil,BRA,Arable land (hectares),AG.LND.ARBL.HA,,22118000,24000000,26000000,27000000,28000000,29000000,30000000,32000000,33000000,35000000,37000000,38000000,39000000,41000000,42000000,43000000,44000000,44000000,44900000,45000000,45600000,47000000,47000000,47100000,47300000,49000000,49500000,49800000,49900000,50681000,51998000,51803000,52264000,52745000,58059000,57858000,57788000,57717199.22,57746800.78,57776398.44,59071000,61504000,64634000,68327000,69157000,69538000,68388000,70250000,70440000,70363000,72273000,72607000,76762000,81007000,81513000,80976000,,,
Barbados,BRB,Arable land (hectares),AG.LND.ARBL.HA,,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,15000,15000,15000,14000,14000,13000,13000,13000,13000,13000,13000,12000,11000,10000,9500,9000,8000,7000,,,
Brunei Darussalam,BRN,Arable land (hectares),AG.LND.ARBL.HA,,4000,4000,4000,4000,4000,6000,6000,6000,6000,6000,4000,4000,4000,4000,4000,4000,4000,4000,4000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,3000,3000,4000,4000,4000,4000,5000,5000,5000,5000,,,
Bhutan,BTN,Arable land (hectares),AG.LND.ARBL.HA,,100000,100000,100000,100000,100000,100000,100000,100000,100000,110000,110000,110000,110000,115000,115000,120000,120000,120000,125000,130000,130000,135000,145000,145000,145000,145000,146000,141000,133000,135000,135000,135000,136000,140000,146000,151000,153000,153000,153000,106000,111000,111000,111000,158000,167000,151300.0031,136300.0031,100000,100000,100599.9985,100199.9969,100199.9969,100199.9969,100199.9969,100199.9969,100000,,,
Botswana,BWA,Arable land (hectares),AG.LND.ARBL.HA,,399000,399000,399000,399000,400000,400000,400000,400000,400000,400000,400000,401000,401000,401000,401000,401000,401000,401000,403000,403000,403000,405000,405000,405000,407000,407000,409000,409000,414000,420000,300000,250000,350000,395000,345000,345000,300000,230000,240000,350000,200000,245000,195000,226000,240000,201000,182000,279000,316000,259000,324000,285000,277000,399000,259600.0061,259600.0061,,,
Central African Republic,CAF,Arable land (hectares),AG.LND.ARBL.HA,,1680000,1690000,1700000,1710000,1720000,1730000,1740000,1750000,1760000,1770000,1780000,1790000,1800000,1810000,1820000,1830000,1840000,1850000,1860000,1870000,1870000,1880000,1890000,1900000,1900000,1920000,1920000,1920000,1920000,1920000,1920000,1930000,1930000,1930000,1930000,1930000,1930000,1930000,1930000,1930000,1930000,1930000,1910000,1930000,1930000,1930000,1930000,1930000,1950000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,,,
Canada,CAN,Arable land (hectares),AG.LND.ARBL.HA,,40843000,41224000,41604000,41984000,42365000,42745000,42754000,42762000,42771000,42779000,42788000,42895000,43003000,43111000,43219000,43327000,43676000,44025000,44374000,44723000,45072000,45106000,45139000,45173000,45206000,45239000,45306000,45372000,45438000,45504000,45570000,45562000,45553000,45545000,45537000,45529000,45599000,45669000,45739000,45810000,45880000,45726000,45573000,45419000,45266000,45112000,44683000,44254000,43826000,43397000,42968000,43127601.56,43287199.22,43446800.78,43606398.44,43766000,,,
Central Europe and the Baltics,CEB,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Arable land (hectares),AG.LND.ARBL.HA,,396100.0061,397700.0122,387899.9939,383799.9878,377700.0122,371000,363399.9939,359700.0122,360000,355899.9939,356899.9939,363000,362799.9878,365399.9939,368899.9939,369500,369899.9939,375299.9878,376899.9939,381100.0061,384600.0061,388899.9939,394500,402399.9939,405000,404100.0061,398700.0122,402200.0122,408600.0061,403700.0122,407500,406100.0061,409899.9939,419200.0122,422200.0122,420899.9939,415500,413299.9878,410600.0061,408799.9878,409399.9939,408299.9878,406899.9939,406500,406200.0122,407000,406600.0061,406299.9878,406000,404500,403899.9939,403799.9878,402899.9939,399440.0024,398399.9939,398700.0122,,,
