Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Kuwait,KWT,Arable land (hectares),AG.LND.ARBL.HA,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,2000,2000,2000,3000,3000,4000,4000,4000,4000,4000,4000,4000,5000,5000,5000,6000,6000,6000,7000,10000,13000,12000,12000,11000,11000,11000,11300.00019,11300.00019,10500,10000,10500,10000,11600.00038,9500,7699.999809,8000,,,
Latin America & Caribbean (excluding high income),LAC,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao PDR,LAO,Arable land (hectares),AG.LND.ARBL.HA,,640000,640000,640000,640000,640000,650000,650000,658000,660000,665000,670000,700000,720000,740000,750000,760000,770000,775000,780000,780000,780000,785000,785000,790000,792000,793000,793000,795000,795000,799000,799000,799000,799000,822000,828000,824000,854000,862000,877000,920000,970000,1015000,1060000,1105000,1150000,1200000,1240000,1290000,1360000,1400000,1428000,1450000,1489000,1525000,1525000,1525000,,,
Lebanon,LBN,Arable land (hectares),AG.LND.ARBL.HA,,172000,180000,180000,190000,206000,206000,216000,226000,230000,235000,240000,240000,240000,237000,234000,231000,228000,224000,220000,210000,210000,208000,208000,208000,204000,200000,188000,186000,184000,183000,181000,180000,180000,180000,180000,183000,185000,187000,129000,129000,120000,130000,136000,136300.0031,141699.9969,136000,134199.9969,123000,123000,114000,125000,132000,132000,132000,132000,132000,,,
Liberia,LBR,Arable land (hectares),AG.LND.ARBL.HA,,378000,376000,376000,373000,373000,370000,370000,368000,368000,366000,366000,366000,366000,366000,366000,366000,371000,371000,371000,371000,371000,375000,380000,380000,380000,390000,390000,400000,400000,350000,350000,350000,350000,350000,350000,350000,370000,380000,400000,400000,400000,400000,400000,400000,400000,400000,400000,430000,470000,480000,500000,500000,500000,500000,500000,500000,,,
Libya,LBY,Arable land (hectares),AG.LND.ARBL.HA,,1700000,1710000,1710000,1715000,1715000,1720000,1720000,1725000,1725000,1725000,1730000,1730000,1735000,1735000,1740000,1740000,1745000,1750000,1750000,1753000,1758000,1765000,1775000,1780000,1787000,1795000,1800000,1800000,1805000,1805000,1810000,1815000,1815000,1825000,1870000,2028000,2028000,1815000,1815000,1815000,1815000,1815000,1815000,1750000,1750000,1750000,1750000,1750000,1750000,1716000,1716000,1720000,1720000,1720000,1720000,1720000,,,
St. Lucia,LCA,Arable land (hectares),AG.LND.ARBL.HA,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5300.000191,5000,5000,5000,5000,4699.999809,4500,4300.000191,4000,3700.000048,3500,3299.999952,3299.999952,3000,3000,3000,2900.000095,2799.999952,2700.000048,2700.000048,2500,2000,1899.999976,1899.999976,2000,2000,2000,2000,2000,2000,2000,2200.000048,2299.999952,2400.000095,2500,3000,3000,3000,3000,3000,3000,3000,3000,,,
Latin America & Caribbean,LCN,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Least developed countries: UN classification,LDC,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,LIC,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,LIE,Arable land (hectares),AG.LND.ARBL.HA,,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,3900.000095,3900.000095,3900.000095,3900.000095,3900.000095,3799.999952,3799.999952,3799.999952,3500,3299.999952,3000,3000,2599.999905,2319.999933,2160.000086,2160.000086,,,
Sri Lanka,LKA,Arable land (hectares),AG.LND.ARBL.HA,,595000,577000,792000,790000,793000,792000,792000,798000,804000,810000,816000,822000,828000,834000,850000,900000,950000,1000000,900000,900000,900000,857000,869000,872000,876000,887000,895000,898000,901000,900000,903000,905000,880000,883000,886000,887000,888000,889000,905000,915000,916000,936000,950000,900000,1100000,1050000,1000000,1200000,1100000,1200000,1300000,1250000,1300000,1300000,1300000,1300000,,,
Lower middle income,LMC,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low & middle income,LMY,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,LSO,Arable land (hectares),AG.LND.ARBL.HA,,358000,353000,353000,355000,355000,360000,360000,365000,365000,368000,360000,355000,355000,355000,372000,355000,288000,289000,305000,292000,298000,288000,283000,297000,304000,287000,326000,339000,301000,317000,319000,332000,330000,325000,320000,322000,325000,325000,325000,330000,330000,300000,300000,310000,323000,303000,325000,358000,335000,322000,308000,281299.9878,248100.0061,272299.9878,219000,352000,,,
Late-demographic dividend,LTE,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,LTU,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2885000,2828000,2590000,2866000,2866000,2878000,2890000,2953000,2878000,1631000,1639000,1525000,1616400.024,1906500,1878800.049,1835599.976,1861500,2053699.951,2127399.902,2185699.951,2260500,2290500,2350199.951,2171899.902,2142600.098,,,
Luxembourg,LUX,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62000,62000,62000,62000,62000,60000,60000,61000,62000,61770.00046,61950.00076,62119.99893,62560.00137,62450.00076,62610.00061,62799.99924,61860.00061,,,
Latvia,LVA,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1688000,1687000,1710000,1002000,1060000,1079000,1059000,987000,970000,958000,973000,957000,1009000,1092000,1205000,1188000,1170000,1168000,1173000,1158000,1178000,1208000,1209000,1229800.049,1288000,,,
"Macao SAR, China",MAC,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,Arable land (hectares),AG.LND.ARBL.HA,,6590000,6590000,6650000,6700000,6800000,6900000,6900000,7000000,7000000,7076000,7983000,7131000,7195000,7200000,7293000,7315000,7450000,7658000,7504000,7530000,7690000,7767000,7823000,7834000,7878000,7957000,8166000,8174000,8457000,8707000,8717000,8934000,8999000,9124000,8921000,9096000,8980000,9033000,8818000,8767000,8488000,8402000,9055000,8210000,8122000,8064000,8065000,8052000,8039600.098,7729299.805,7803799.805,8047000,8130000,8130000,8130000,8130000,,,
Monaco,MCO,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1736000,1744000,1759000,1773000,1787000,1787000,1798000,1812000,1827000,1849000,1843000,1845000,1840000,1833000,1820000,1822000,1821000,1817000,1813000,1811000,1814000,1816000,1817000,1822900.024,1827300.049,,,
Madagascar,MDG,Arable land (hectares),AG.LND.ARBL.HA,,1925000,1940000,1955000,1970000,1985000,2000000,2015000,2030000,2050000,2060000,2070000,2090000,2100000,2124000,2296000,2289000,2443000,2500000,2520000,2540000,2560000,2570000,2600000,2620000,2650000,2670000,2680000,2700000,2710000,2720000,2750000,2780000,2900000,2900000,2900000,2900000,2900000,2900000,2900000,2900000,2950000,2950000,2950000,2950000,3000000,3000000,3000000,3200000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,3500000,,,
Maldives,MDV,Arable land (hectares),AG.LND.ARBL.HA,,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,4000,4000,3900.000095,3900.000095,3900.000095,3900.000095,3900.000095,3900.000095,3900.000095,,,
Middle East & North Africa,MEA,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,MEX,Arable land (hectares),AG.LND.ARBL.HA,,19507000,19340000,19260000,19180000,19100000,19020000,18930000,18850000,18770000,17688000,17689000,17684000,17719000,17688000,17712000,17736000,17782000,17785000,17585000,17660000,17599000,17795000,18328000,18240500,18631000,18344000,19234000,19698000,20656000,21709000,22423000,22429000,22531000,22549000,22560000,22717000,22785000,22831000,22918000,22905000,23151000,23184000,23652000,23214000,23296000,23363000,23519000,23350000,23251000,23507000,22977000,23150000,23379000,23304000,23026000,22562000,,,
Marshall Islands,MHL,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,,,
Middle income,MIC,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Macedonia,MKD,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606000,609000,609000,606000,609000,600000,587000,588000,555000,568000,499000,471000,461000,448000,439000,431000,424000,420000,414000,414000,414000,413000,412000,414000,416000,,,
Mali,MLI,Arable land (hectares),AG.LND.ARBL.HA,,1638000,1643000,1648000,1653000,1658000,1662000,1668000,1668000,1668000,1718000,1718000,1718000,1718000,1768000,1818000,2017000,2015000,2015000,2010000,2010000,2013000,2013000,2013000,2013000,2033000,2036000,2036000,2053000,2053000,2053000,2063000,2163000,3060000,3160000,3319000,4540000,4535000,4530000,4520000,4468000,4500000,4900000,5942000,5002000,5603000,5677000,5808000,5761000,6255399.902,6261000,6861000,6861000,6411000,6411000,6411000,6411000,,,
Malta,MLT,Arable land (hectares),AG.LND.ARBL.HA,,17000,16000,15000,14000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,12000,12000,13000,13000,13000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,10000,10000,9000,8000,8000,8000,9000,9000,9300.000191,9000,8199.999809,8000,8000,8000,8000,9079.999924,9079.999924,9000,8970.000267,8970.000267,8970.000267,9069.999695,,,
Myanmar,MMR,Arable land (hectares),AG.LND.ARBL.HA,,9900000,9910000,9920000,9930000,9930000,9940000,9940000,9940000,9950000,9970000,9970000,9970000,9485000,9494000,9505000,9518000,9550000,9558000,9567000,9573000,9605000,9620000,9613000,9591000,9593000,9596000,9574000,9552000,9538000,9567000,9554000,9534000,9579000,9534000,9540000,9543000,9559000,9556000,9690000,9909000,9990000,9862000,9851000,9912000,10059000,10336000,10577000,10694000,10794000,10811000,10786000,10751000,10772000,10776000,10893000,10908000,,,
Middle East & North Africa (excluding high income),MNA,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,MNE,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174000,174000,173000,173000,172000,173000,172000,7800.000191,8729.999542,8699.999809,9000,,,
Mongolia,MNG,Arable land (hectares),AG.LND.ARBL.HA,,624000,724000,729000,850000,867000,885000,819000,777000,746000,744000,775000,776000,789000,801000,827000,950000,1100000,1154000,1160000,1182000,1212000,1251000,1312000,1334000,1353000,1306000,1334000,1365000,1374000,1370000,1368000,1362000,1352000,1321000,1321000,1321000,1227000,1346000,1190000,1174000,751000,756000,704000,704000,695000,696000,703000,834000,622000,614000,611000,647000,566400.0244,567200.0122,567200.0122,567200.0122,,,
Northern Mariana Islands,MNP,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,,,
Mozambique,MOZ,Arable land (hectares),AG.LND.ARBL.HA,,2444000,2450000,2455000,2460000,2470000,2474000,2500000,2600000,2700000,2785000,2785000,2800000,2850000,2850000,2870000,2870000,2870000,2870000,2870000,2870000,2920000,3000000,3000000,3100000,3150000,3200000,3300000,3350000,3400000,3450000,3500000,3520000,3520000,3570000,3650000,3750000,3900000,4000000,3950000,3900000,4000000,4450000,4500000,4600000,5000000,4900000,5200000,5400000,5500000,5650000,5650000,5650000,5650000,5650000,5650000,5650000,,,
Mauritania,MRT,Arable land (hectares),AG.LND.ARBL.HA,,267000,267000,267000,266000,265000,266000,267000,268000,278000,278000,239000,239000,226000,196000,192000,195000,196000,192000,195000,210000,230000,250000,270000,280000,300000,320000,340000,360000,380000,400000,410000,420000,431000,470000,498000,488000,488000,488000,488000,488000,450000,400000,400000,400000,400000,400000,400000,400000,390000,450000,400000,400000,450000,450000,450000,450000,,,
Mauritius,MUS,Arable land (hectares),AG.LND.ARBL.HA,,90000,91000,91000,91000,92000,89000,94000,100000,100000,100000,100000,100000,100000,100000,99000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,99000,98000,97000,96000,94000,93000,92000,91000,90000,91000,89000,90000,91000,89000,88000,87000,85000,83000,81000,80000,80000,80000,78000,76000,75000,75000,75000,75000,,,
Malawi,MWI,Arable land (hectares),AG.LND.ARBL.HA,,1300000,1400000,1450000,1500000,1700000,1750000,1700000,1800000,1850000,1800000,1950000,2000000,2050000,2050000,2000000,2000000,2000000,2050000,2050000,1900000,2000000,2100000,2000000,2050000,2050000,2150000,2150000,2150000,2200000,2250000,2350000,2300000,2300000,2100000,2300000,2400000,2450000,2600000,2700000,2750000,2850000,2850000,3000000,3000000,3200000,3300000,3000000,3450000,3500000,3700000,3600000,3750000,3800000,3800000,3800000,3800000,,,
Malaysia,MYS,Arable land (hectares),AG.LND.ARBL.HA,,754739.9902,777950.0122,800869.9951,811020.0195,773340.0269,777130.0049,788679.9927,865299.9878,868940.0024,951010.0098,967780.0293,1007030.029,1015890.015,1004469.971,1055140.015,1038619.995,1067739.99,938609.9854,1082109.985,1027140.015,1033790.039,994789.978,990440.0024,951119.9951,947750,894900.0244,901400.0244,911799.9878,907700.0122,930599.9756,936500,926500,915400.0244,927900.0244,901000,892099.9756,888700.0122,874700.0122,877099.9756,868700.0122,877000,967500,946239.9902,946700.0122,949409.9731,890200.0122,827200.0122,870400.0244,845000,854299.9878,865599.9756,868400.0244,802700.0122,804000,825309.9976,882000,,,
North America,NAC,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,NAM,Arable land (hectares),AG.LND.ARBL.HA,,641000,641000,641000,645000,645000,645000,648000,648000,648000,650000,652000,652000,652000,652000,652000,654000,654000,655000,655000,655000,655000,655000,660000,660000,660000,660000,660000,660000,660000,660000,660000,660000,698000,747000,816000,816000,816000,816000,816000,816000,816000,816000,815000,815000,814000,813000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,,,
New Caledonia,NCL,Arable land (hectares),AG.LND.ARBL.HA,,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,10000,10000,9000,9000,9000,9000,9000,9000,9000,8000,7000,7000,7000,7000,7000,7000,7000,7000,6800.000191,6800.000191,6800.000191,6800.000191,6800.000191,6800.000191,6800.000191,6800.000191,6800.000191,6500,6000,6199.999809,6239.999771,6239.999771,6239.999771,,,
Niger,NER,Arable land (hectares),AG.LND.ARBL.HA,,11499000,11499000,11499000,11499000,11498000,11498000,11498000,12175000,12173000,11197000,11226000,11173000,10810000,9776000,9776000,9774000,9774000,9774000,9952000,10212000,9772000,9852000,10002000,9772000,9770000,9770000,9502000,9489000,9594000,11036000,12092000,12987000,12986000,12985000,13985000,13985000,13985000,13984000,13984000,13975000,13970000,13960000,14050000,14105000,14123000,14137000,14925000,14920000,14900000,15100000,15600000,15900000,16800000,16800000,16800000,16800000,,,
Nigeria,NGA,Arable land (hectares),AG.LND.ARBL.HA,,23676509.77,24400000,26516910.16,27471070.31,29570130.86,27105990.23,29212869.14,29171949.22,34714031.25,31880470.7,30327560.55,26000000,31150000,27000000,26000000,26000000,20611000,18855000,17716000,19603000,16466000,17432000,17505000,21000000,23000000,27860000,27882000,28112000,28088000,28174000,30000000,30100000,30100000,31000000,32900000,33100000,33200000,34000000,35000000,35000000,33000000,34000000,35000000,35000000,36000000,36800000,37000000,36000000,32000000,33000000,34000000,35000000,34000000,34000000,34000000,34000000,,,
Nicaragua,NIC,Arable land (hectares),AG.LND.ARBL.HA,,1030000,1030000,1030000,1030000,1030000,1040000,1040000,1040000,1040000,1040000,1040000,1040000,1050000,1060000,1060000,1060000,1060000,1065000,1069000,1070000,1150000,1150000,1150000,1200000,1220000,1220000,1250000,1280000,1300000,1300000,1300000,1320000,1350000,1350000,1650000,1650000,1750000,1800000,1850000,1917000,1912000,2000000,2050000,1950000,2000000,1860000,1800000,1700000,1650000,1531000,1503000,1532000,1504000,1504000,1504000,1504000,,,
Netherlands,NLD,Arable land (hectares),AG.LND.ARBL.HA,,992000,966000,949000,937000,928000,897000,873000,864000,845000,824000,770000,765000,761000,762000,759000,769000,775000,780000,785000,790000,788000,790000,801000,817000,826000,844000,861000,869000,876000,879000,881000,887000,887000,885000,882000,895000,901000,906000,914000,910000,905000,916000,906000,1127500,1111000,1069800.049,1059800.049,1066599.976,1054699.951,1022599.976,1006000,1011000,1038400.024,1045000,1033000,1028000,,,
Norway,NOR,Arable land (hectares),AG.LND.ARBL.HA,,856000,854000,852000,850000,848000,846000,843000,841000,825000,812000,804000,793000,788000,791000,790000,793000,798000,804000,828000,815000,825000,838000,846000,852000,854000,865000,865000,870000,878000,860000,887000,878000,885000,896000,987000,995000,897000,898000,882000,879000,881000,878000,871000,869000,862000,858000,852599.9756,845099.9756,834880.0049,825599.9756,818000,811900.0244,807789.978,808179.9927,807140.0146,805130.0049,,,
Nepal,NPL,Arable land (hectares),AG.LND.ARBL.HA,,1806000,1806000,1816000,1806000,1806000,1806000,1819000,1819000,1819000,1953000,1953000,2055000,2165000,2180000,2195000,2210000,2225000,2240000,2255000,2270000,2288000,2291600.098,2295199.951,2298800.049,2302399.902,2306000,2309600.098,2313199.951,2316800.049,2320399.902,2324000,2327300.049,2330600.098,2333899.902,2337199.951,2340500,2343800.049,2347100.098,2350399.902,2354000,2355000,2335000,2315000,2300000,2280000,2260000,2240000,2220000,2200000,2180000,2162699.951,2118000,2114000,2113699.951,2113699.951,2113699.951,,,
Nauru,NRU,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,NZL,Arable land (hectares),AG.LND.ARBL.HA,,3000000,2990000,2985000,2980000,2980000,2975000,2975000,2970000,2970000,2965000,2960000,2951000,2912000,2889000,2819000,2761000,2736000,2702000,2661000,2616000,2560000,2547000,2585000,2562000,2522000,2585000,2616000,2519000,2534000,2645000,2356000,2075000,1930000,1707000,1579000,1558000,1555000,1555000,1555000,1500000,1500000,476000,415000,420000,425000,399000,431000,453000,471000,499000,471000,509000,547000,590000,598000,570000,,,
OECD members,OED,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,OMN,Arable land (hectares),AG.LND.ARBL.HA,,20000,20000,20000,20000,20000,20000,20000,22000,22000,22000,22000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,27000,27000,29000,32000,33000,33000,35000,35000,35000,35000,29000,29000,28000,28000,29000,31000,31000,31000,31000,31000,31000,29000,28000,26000,28000,30000,37000,34299.99924,36900.00153,33700.00076,37700.00076,37500,52159.99985,56110.00061,,,
Other small states,OSS,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,Arable land (hectares),AG.LND.ARBL.HA,,30580000,30690000,30730000,31200000,32080000,32260000,32310000,32010000,30540000,30700000,30320000,30340000,31210000,30530000,30800000,30460000,30640000,31150000,31050000,32110000,31160000,33140000,31040000,32110000,31710000,30140000,31250000,29920000,30410000,29750000,29810000,29920000,30230000,30250000,30460000,30550000,31040000,31120000,31110000,31040000,31300000,31220000,31190000,30310000,30170000,30320000,30180000,29460000,29420000,29390000,30100000,30240000,30470000,30440000,30400000,31040000,,,
Panama,PAN,Arable land (hectares),AG.LND.ARBL.HA,,438000,438000,438000,438000,438000,438000,434000,434000,432000,432000,432000,432000,432000,433000,433000,433000,434000,434000,434000,435000,440000,450000,455000,460000,465000,470000,475000,480000,490000,499000,499000,500000,500000,500000,500000,500000,510000,520000,530000,548000,548000,548000,548000,548000,548000,540000,540000,540000,540000,568890.0146,565000,563000,563000,563000,563000,563000,,,
Peru,PER,Arable land (hectares),AG.LND.ARBL.HA,,1796000,1929000,2200000,2419000,2511000,2417000,2426000,2450000,2461000,2558000,2558000,2850000,2900000,2900000,2910000,3000000,3103000,3145000,3171000,3220000,3245000,3285000,3333000,3374000,3376000,3385000,3400000,3400000,3400000,3500000,3550000,3600000,3600000,3602000,3740000,3860000,3960000,4115000,4225000,4410000,4280000,3815000,3835000,3740000,3930000,3980000,4010000,4030000,4135000,4085000,4030000,4156000,4195000,3600000,3155000,3508000,,,
Philippines,PHL,Arable land (hectares),AG.LND.ARBL.HA,,4901000,4880000,4860000,4840000,4820000,4800000,4760000,4730000,4700000,4670000,4644000,4700000,4750000,4800000,4850000,5000000,5100000,5150000,5200000,5228000,5220000,5240000,5260000,5280000,5350000,5400000,5420000,5440000,5460000,5480000,5487000,5435000,5385000,5335000,5285000,5235000,5185000,5135000,5085000,5034000,4984000,4935000,4970000,5120000,5005000,5155000,5290000,5450000,5500000,5300000,5450000,5580000,5590000,5590000,5590000,5590000,,,
Palau,PLW,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,,,
Papua New Guinea,PNG,Arable land (hectares),AG.LND.ARBL.HA,,75000,75000,75000,75000,75000,80000,85000,85000,91000,102000,108000,114000,120000,126000,132000,138000,144000,160000,165000,167000,172000,175000,179000,180000,183000,185000,186000,188000,190000,192000,192000,192000,193000,193000,194000,195000,197000,199000,203000,205000,210000,220000,225000,230000,240000,250000,250000,300000,300000,300000,300000,300000,300000,300000,300000,300000,,,
Poland,POL,Arable land (hectares),AG.LND.ARBL.HA,,15944000,15829000,15733000,15701000,15437000,15436000,15291000,15265000,15104000,15088000,14980000,14844000,14800000,14764000,14781000,14763000,14739000,14709000,14652000,14621000,14512000,14484000,14474000,14535000,14511000,14484000,14480000,14464000,14414000,14388000,14360000,14337000,14305000,14300000,14210000,14004000,14006000,14057000,14072000,13993000,13584000,13010000,12587000,12610000,12141000,12368000,11823000,12043000,12066000,10829000,11098000,10925000,10792000,10928000,10887000,10806000,,,
Pre-demographic dividend,PRE,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,PRI,Arable land (hectares),AG.LND.ARBL.HA,,224000,213000,212000,191000,215000,187000,170000,164000,166000,152000,130000,115000,95000,95000,94000,94000,96000,98000,97000,74000,68000,67000,64000,66000,63000,64000,63000,77000,70000,65000,55000,52000,32000,33000,33000,33000,37000,51500,54599.99847,59700.00076,64900.00153,68000,67400.00153,66800.00305,66199.99695,65500,64900.00153,60500,55200.00076,56799.99924,58500,60099.99847,61000,61000,61000,61000,,,
"Korea, Dem. People’s Rep.",PRK,Arable land (hectares),AG.LND.ARBL.HA,,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2150000,2200000,2200000,2200000,2200000,2200000,2200000,2200000,2285000,2285000,2285000,2285000,2285000,2285000,2285000,2285000,2285000,2285000,2288000,2300000,2300000,2300000,2400000,2400000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2350000,2350000,2350000,2400000,2400000,2400000,2350000,2350000,2350000,2350000,2350000,2350000,,,
Portugal,PRT,Arable land (hectares),AG.LND.ARBL.HA,,2507000,2503000,2499000,2495000,2491000,2487000,2483000,2479000,2475000,2471000,2467000,2463000,2458000,2453000,2448000,2443000,2438000,2433000,2428000,2423000,2418000,2413000,2408000,2403000,2398000,2393000,2388000,2383000,2378000,2344000,2309000,2275000,2240000,2200000,2153000,2000000,1882000,1798500,1715000,1750270.02,1628560.059,1636150.024,1554420.044,1482729.98,1305459.961,1241739.99,1148250,1220209.961,1200979.98,1147569.946,1126770.02,1123819.946,1138510.01,1126739.99,1127290.039,978669.9829,,,
Paraguay,PRY,Arable land (hectares),AG.LND.ARBL.HA,,700000,711000,729000,761000,784000,809000,809000,805000,805000,805000,805000,805000,804000,920000,1040000,1160000,1270000,1390000,1500000,1620000,1741000,1780000,1820000,1860000,1900000,1950000,1990000,2030000,2070000,2110000,2150000,2300000,2300000,2450000,2600000,2600000,2600000,2850000,2950000,3020000,3105000,3210000,3280000,3370000,3460000,3550000,3640000,3757000,4020000,4145000,4305000,4415000,4600000,4800000,4800000,4800000,,,
West Bank and Gaza,PSE,Arable land (hectares),AG.LND.ARBL.HA,,100000,100000,100000,100000,100000,101000,101000,101000,101000,102000,102000,102000,102000,103000,103000,103000,103000,104000,104000,104000,108000,108000,108000,108000,107000,108000,109000,110000,111000,109000,106000,104000,104000,104000,111000,107000,105000,84000,99000,102000,102000,102000,101000,102000,99000,94000,87000,83000,63349.99847,43700.00076,43500,46150.00153,55000,64000,50819.99969,50819.99969,,,
Pacific island small states,PSS,Arable land (hectares),AG.LND.ARBL.HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
